model,label_id,class_name,B1_simple,M1_ensemble_all,delta_ens_minus_simple
ViT-B/16,0,centered face,0.006896551724137931,0.2597701149425287,0.2528735632183908
ViT-B/16,1,off-center face,0.9977011494252873,0.6827586206896552,-0.3149425287356321
ViT-B/16,2,leopard,0.97,0.99,0.020000000000000018
ViT-B/16,3,motorbike,1.0,1.0,0.0
ViT-B/16,4,accordion,0.9636363636363636,0.9636363636363636,0.0
ViT-B/16,5,airplane,0.965,0.98,0.015000000000000013
ViT-B/16,6,anchor,0.6904761904761905,0.6428571428571429,-0.04761904761904756
ViT-B/16,7,ant,0.7142857142857143,0.8571428571428571,0.1428571428571428
ViT-B/16,8,barrel,0.9574468085106383,0.9787234042553191,0.02127659574468077
ViT-B/16,9,bass,0.8888888888888888,0.9259259259259259,0.03703703703703709
ViT-B/16,10,beaver,0.782608695652174,0.8913043478260869,0.10869565217391297
ViT-B/16,11,binocular,0.8787878787878788,0.9090909090909091,0.030303030303030276
ViT-B/16,12,bonsai,0.9921875,1.0,0.0078125
ViT-B/16,13,brain,0.9897959183673469,1.0,0.010204081632653073
ViT-B/16,14,brontosaurus,0.9534883720930233,0.9534883720930233,0.0
ViT-B/16,15,buddha,1.0,1.0,0.0
ViT-B/16,16,butterfly,0.9120879120879121,0.9230769230769231,0.010989010989011061
ViT-B/16,17,camera,1.0,1.0,0.0
ViT-B/16,18,cannon,0.8604651162790697,0.8604651162790697,0.0
ViT-B/16,19,side of a car,0.9349593495934959,0.983739837398374,0.04878048780487809
ViT-B/16,20,ceiling fan,0.9574468085106383,0.9574468085106383,0.0
ViT-B/16,21,cellphone,0.9661016949152542,0.9661016949152542,0.0
ViT-B/16,22,chair,0.3870967741935484,0.3225806451612903,-0.06451612903225806
ViT-B/16,23,chandelier,0.9252336448598131,0.9626168224299065,0.03738317757009346
ViT-B/16,24,body of a cougar cat,0.9574468085106383,0.851063829787234,-0.1063829787234043
ViT-B/16,25,face of a cougar cat,0.9565217391304348,0.9710144927536232,0.01449275362318836
ViT-B/16,26,crab,0.8493150684931506,0.8767123287671232,0.0273972602739726
ViT-B/16,27,crayfish,0.8428571428571429,0.8857142857142857,0.042857142857142816
ViT-B/16,28,crocodile,0.82,0.72,-0.09999999999999998
ViT-B/16,29,head of a  crocodile,0.5686274509803921,0.7843137254901961,0.21568627450980393
ViT-B/16,30,cup,0.9473684210526315,0.9473684210526315,0.0
ViT-B/16,31,dalmatian,0.9402985074626866,1.0,0.05970149253731338
ViT-B/16,32,dollar bill,1.0,1.0,0.0
ViT-B/16,33,dolphin,0.9846153846153847,1.0,0.01538461538461533
ViT-B/16,34,dragonfly,0.5882352941176471,0.6911764705882353,0.1029411764705882
ViT-B/16,35,electric guitar,0.8266666666666667,0.8933333333333333,0.06666666666666665
ViT-B/16,36,elephant,0.984375,0.984375,0.0
ViT-B/16,37,emu,0.9811320754716981,0.9811320754716981,0.0
ViT-B/16,38,euphonium,0.9375,0.9375,0.0
ViT-B/16,39,ewer,0.9882352941176471,0.9647058823529412,-0.02352941176470591
ViT-B/16,40,ferry,0.9253731343283582,0.9701492537313433,0.04477611940298509
ViT-B/16,41,flamingo,0.9850746268656716,0.9701492537313433,-0.01492537313432829
ViT-B/16,42,head of a flamingo,0.24444444444444444,0.4444444444444444,0.19999999999999998
ViT-B/16,43,garfield,1.0,1.0,0.0
ViT-B/16,44,gerenuk,0.9411764705882353,0.9411764705882353,0.0
ViT-B/16,45,gramophone,0.9803921568627451,1.0,0.019607843137254943
ViT-B/16,46,grand piano,1.0,1.0,0.0
ViT-B/16,47,hawksbill,0.99,1.0,0.010000000000000009
ViT-B/16,48,headphone,1.0,1.0,0.0
ViT-B/16,49,hedgehog,0.9814814814814815,0.9814814814814815,0.0
ViT-B/16,50,helicopter,1.0,1.0,0.0
ViT-B/16,51,ibis,0.9875,0.975,-0.012500000000000067
ViT-B/16,52,inline skate,1.0,1.0,0.0
ViT-B/16,53,joshua tree,1.0,1.0,0.0
ViT-B/16,54,kangaroo,0.9651162790697675,0.9767441860465116,0.011627906976744096
ViT-B/16,55,ketch,0.5964912280701754,0.14035087719298245,-0.45614035087719296
ViT-B/16,56,lamp,0.8688524590163934,0.8852459016393442,0.016393442622950838
ViT-B/16,57,laptop,1.0,0.9876543209876543,-0.012345679012345734
ViT-B/16,58,llama,0.9230769230769231,0.9102564102564102,-0.012820512820512886
ViT-B/16,59,lobster,0.5853658536585366,0.3902439024390244,-0.19512195121951215
ViT-B/16,60,lotus,0.18181818181818182,0.3181818181818182,0.13636363636363635
ViT-B/16,61,mandolin,0.9767441860465116,0.9534883720930233,-0.023255813953488302
ViT-B/16,62,mayfly,0.95,0.975,0.025000000000000022
ViT-B/16,63,menorah,1.0,1.0,0.0
ViT-B/16,64,metronome,0.96875,0.9375,-0.03125
ViT-B/16,65,minaret,0.9342105263157895,0.9605263157894737,0.02631578947368418
ViT-B/16,66,nautilus,0.9090909090909091,0.9636363636363636,0.054545454545454564
ViT-B/16,67,octopus,0.7428571428571429,0.8857142857142857,0.1428571428571428
ViT-B/16,68,okapi,1.0,1.0,0.0
ViT-B/16,69,pagoda,0.9787234042553191,1.0,0.021276595744680882
ViT-B/16,70,panda,0.9473684210526315,1.0,0.052631578947368474
ViT-B/16,71,pigeon,1.0,1.0,0.0
ViT-B/16,72,pizza,1.0,1.0,0.0
ViT-B/16,73,platypus,0.9411764705882353,0.8529411764705882,-0.08823529411764708
ViT-B/16,74,pyramid,1.0,1.0,0.0
ViT-B/16,75,revolver,1.0,1.0,0.0
ViT-B/16,76,rhino,1.0,0.9830508474576272,-0.016949152542372836
ViT-B/16,77,rooster,1.0,1.0,0.0
ViT-B/16,78,saxophone,1.0,1.0,0.0
ViT-B/16,79,schooner,0.5714285714285714,0.9206349206349206,0.3492063492063492
ViT-B/16,80,scissors,0.8974358974358975,0.8974358974358975,0.0
ViT-B/16,81,scorpion,0.9047619047619048,0.8928571428571429,-0.011904761904761862
ViT-B/16,82,sea horse,0.8947368421052632,0.9122807017543859,0.01754385964912275
ViT-B/16,83,snoopy (cartoon beagle),1.0,1.0,0.0
ViT-B/16,84,soccer ball,1.0,1.0,0.0
ViT-B/16,85,stapler,0.8888888888888888,0.8666666666666667,-0.022222222222222143
ViT-B/16,86,starfish,1.0,1.0,0.0
ViT-B/16,87,stegosaurus,0.9830508474576272,0.9491525423728814,-0.03389830508474578
ViT-B/16,88,stop sign,1.0,1.0,0.0
ViT-B/16,89,strawberry,0.9714285714285714,0.9714285714285714,0.0
ViT-B/16,90,sunflower,0.9882352941176471,1.0,0.0117647058823529
ViT-B/16,91,tick,1.0,1.0,0.0
ViT-B/16,92,trilobite,0.9883720930232558,0.9883720930232558,0.0
ViT-B/16,93,umbrella,0.9866666666666667,1.0,0.013333333333333308
ViT-B/16,94,watch,1.0,1.0,0.0
ViT-B/16,95,water lilly,0.972972972972973,0.972972972972973,0.0
ViT-B/16,96,wheelchair,1.0,1.0,0.0
ViT-B/16,97,wild cat,0.11764705882352941,0.2647058823529412,0.14705882352941177
ViT-B/16,98,windsor chair,0.9821428571428571,1.0,0.017857142857142905
ViT-B/16,99,wrench,0.7435897435897436,0.8205128205128205,0.07692307692307687
ViT-B/16,100,yin and yang symbol,0.9833333333333333,0.9833333333333333,0.0
ViT-B/32,0,centered face,0.7034482758620689,0.27816091954022987,-0.42528735632183906
ViT-B/32,1,off-center face,0.1793103448275862,0.5494252873563218,0.37011494252873556
ViT-B/32,2,leopard,0.95,0.98,0.030000000000000027
ViT-B/32,3,motorbike,0.9987468671679198,1.0,0.0012531328320801727
ViT-B/32,4,accordion,0.9272727272727272,0.9272727272727272,0.0
ViT-B/32,5,airplane,0.98625,0.9875,0.0012500000000000844
ViT-B/32,6,anchor,0.5714285714285714,0.4523809523809524,-0.11904761904761901
ViT-B/32,7,ant,0.8333333333333334,0.9047619047619048,0.0714285714285714
ViT-B/32,8,barrel,0.9787234042553191,1.0,0.021276595744680882
ViT-B/32,9,bass,0.8148148148148148,0.7777777777777778,-0.03703703703703698
ViT-B/32,10,beaver,0.7391304347826086,0.782608695652174,0.0434782608695653
ViT-B/32,11,binocular,0.9090909090909091,0.9090909090909091,0.0
ViT-B/32,12,bonsai,1.0,1.0,0.0
ViT-B/32,13,brain,1.0,1.0,0.0
ViT-B/32,14,brontosaurus,0.9069767441860465,0.9302325581395349,0.023255813953488413
ViT-B/32,15,buddha,1.0,1.0,0.0
ViT-B/32,16,butterfly,0.967032967032967,0.9560439560439561,-0.01098901098901095
ViT-B/32,17,camera,0.96,0.98,0.020000000000000018
ViT-B/32,18,cannon,0.7906976744186046,0.8604651162790697,0.06976744186046513
ViT-B/32,19,side of a car,0.991869918699187,1.0,0.008130081300813052
ViT-B/32,20,ceiling fan,0.9148936170212766,0.9361702127659575,0.021276595744680882
ViT-B/32,21,cellphone,0.864406779661017,0.8983050847457628,0.03389830508474578
ViT-B/32,22,chair,0.6290322580645161,0.3709677419354839,-0.25806451612903225
ViT-B/32,23,chandelier,0.8504672897196262,0.9252336448598131,0.07476635514018692
ViT-B/32,24,body of a cougar cat,0.5957446808510638,0.7446808510638298,0.14893617021276595
ViT-B/32,25,face of a cougar cat,0.9710144927536232,0.9710144927536232,0.0
ViT-B/32,26,crab,0.7397260273972602,0.6438356164383562,-0.09589041095890405
ViT-B/32,27,crayfish,0.7,0.8571428571428571,0.15714285714285714
ViT-B/32,28,crocodile,0.8,0.6,-0.20000000000000007
ViT-B/32,29,head of a  crocodile,0.5882352941176471,0.8431372549019608,0.2549019607843137
ViT-B/32,30,cup,0.9122807017543859,0.9298245614035088,0.01754385964912286
ViT-B/32,31,dalmatian,1.0,1.0,0.0
ViT-B/32,32,dollar bill,1.0,1.0,0.0
ViT-B/32,33,dolphin,0.9692307692307692,0.9846153846153847,0.015384615384615441
ViT-B/32,34,dragonfly,0.6764705882352942,0.7941176470588235,0.11764705882352933
ViT-B/32,35,electric guitar,0.8266666666666667,0.8,-0.026666666666666616
ViT-B/32,36,elephant,0.9375,0.9375,0.0
ViT-B/32,37,emu,0.9433962264150944,0.9622641509433962,0.018867924528301883
ViT-B/32,38,euphonium,0.984375,1.0,0.015625
ViT-B/32,39,ewer,0.9882352941176471,0.9529411764705882,-0.03529411764705892
ViT-B/32,40,ferry,1.0,1.0,0.0
ViT-B/32,41,flamingo,0.9104477611940298,0.6865671641791045,-0.22388059701492535
ViT-B/32,42,head of a flamingo,0.5111111111111111,0.8,0.288888888888889
ViT-B/32,43,garfield,1.0,1.0,0.0
ViT-B/32,44,gerenuk,0.8529411764705882,0.9117647058823529,0.05882352941176472
ViT-B/32,45,gramophone,0.9803921568627451,1.0,0.019607843137254943
ViT-B/32,46,grand piano,0.98989898989899,1.0,0.010101010101010055
ViT-B/32,47,hawksbill,0.99,1.0,0.010000000000000009
ViT-B/32,48,headphone,0.9761904761904762,1.0,0.023809523809523836
ViT-B/32,49,hedgehog,0.9629629629629629,0.9444444444444444,-0.01851851851851849
ViT-B/32,50,helicopter,1.0,1.0,0.0
ViT-B/32,51,ibis,0.9375,0.9625,0.025000000000000022
ViT-B/32,52,inline skate,0.967741935483871,0.967741935483871,0.0
ViT-B/32,53,joshua tree,1.0,1.0,0.0
ViT-B/32,54,kangaroo,1.0,1.0,0.0
ViT-B/32,55,ketch,0.14912280701754385,0.08771929824561403,-0.06140350877192982
ViT-B/32,56,lamp,0.8360655737704918,0.9016393442622951,0.06557377049180324
ViT-B/32,57,laptop,0.9753086419753086,0.9753086419753086,0.0
ViT-B/32,58,llama,0.9230769230769231,0.9102564102564102,-0.012820512820512886
ViT-B/32,59,lobster,0.5609756097560976,0.43902439024390244,-0.12195121951219517
ViT-B/32,60,lotus,0.5606060606060606,0.48484848484848486,-0.07575757575757569
ViT-B/32,61,mandolin,0.9534883720930233,0.9534883720930233,0.0
ViT-B/32,62,mayfly,0.975,0.975,0.0
ViT-B/32,63,menorah,1.0,1.0,0.0
ViT-B/32,64,metronome,0.96875,0.96875,0.0
ViT-B/32,65,minaret,0.9210526315789473,0.8947368421052632,-0.02631578947368418
ViT-B/32,66,nautilus,0.9272727272727272,0.9454545454545454,0.018181818181818188
ViT-B/32,67,octopus,0.9142857142857143,0.8857142857142857,-0.02857142857142858
ViT-B/32,68,okapi,1.0,1.0,0.0
ViT-B/32,69,pagoda,0.9787234042553191,0.9787234042553191,0.0
ViT-B/32,70,panda,1.0,1.0,0.0
ViT-B/32,71,pigeon,1.0,1.0,0.0
ViT-B/32,72,pizza,1.0,1.0,0.0
ViT-B/32,73,platypus,0.8823529411764706,0.7647058823529411,-0.11764705882352944
ViT-B/32,74,pyramid,1.0,1.0,0.0
ViT-B/32,75,revolver,0.9878048780487805,0.9878048780487805,0.0
ViT-B/32,76,rhino,0.9661016949152542,0.9661016949152542,0.0
ViT-B/32,77,rooster,1.0,1.0,0.0
ViT-B/32,78,saxophone,0.975,0.975,0.0
ViT-B/32,79,schooner,0.9841269841269841,1.0,0.015873015873015928
ViT-B/32,80,scissors,0.9487179487179487,0.9487179487179487,0.0
ViT-B/32,81,scorpion,0.9047619047619048,0.7857142857142857,-0.11904761904761907
ViT-B/32,82,sea horse,0.8771929824561403,0.8596491228070176,-0.01754385964912275
ViT-B/32,83,snoopy (cartoon beagle),0.9714285714285714,0.9428571428571428,-0.02857142857142858
ViT-B/32,84,soccer ball,1.0,1.0,0.0
ViT-B/32,85,stapler,0.8888888888888888,0.9111111111111111,0.022222222222222254
ViT-B/32,86,starfish,1.0,1.0,0.0
ViT-B/32,87,stegosaurus,0.9661016949152542,0.9322033898305084,-0.03389830508474578
ViT-B/32,88,stop sign,1.0,1.0,0.0
ViT-B/32,89,strawberry,1.0,1.0,0.0
ViT-B/32,90,sunflower,1.0,1.0,0.0
ViT-B/32,91,tick,1.0,1.0,0.0
ViT-B/32,92,trilobite,1.0,1.0,0.0
ViT-B/32,93,umbrella,1.0,0.9866666666666667,-0.013333333333333308
ViT-B/32,94,watch,0.9916317991631799,0.9874476987447699,-0.004184100418409997
ViT-B/32,95,water lilly,0.8378378378378378,0.972972972972973,0.1351351351351352
ViT-B/32,96,wheelchair,1.0,1.0,0.0
ViT-B/32,97,wild cat,0.29411764705882354,0.17647058823529413,-0.11764705882352941
ViT-B/32,98,windsor chair,0.9821428571428571,1.0,0.017857142857142905
ViT-B/32,99,wrench,0.7948717948717948,0.717948717948718,-0.07692307692307687
ViT-B/32,100,yin and yang symbol,0.9833333333333333,0.9833333333333333,0.0
